customer_id,total_value,avg_monthly_value,value_std,active_months,trend,recency_months
1,4.6000000000000005,2.3000000000000003,1.9516147160748711,2,-2.759999999999999,0
2,13.86,1.98,1.2469161960613073,7,-0.04857142857142852,0
3,14.84,2.473333333333333,1.0057766484993906,6,0.28914285714285726,0
4,9.14,1.5233333333333334,1.1848825539548917,6,0.192,1
5,3.7,1.85,0.4384062043356595,2,0.62,17
6,11.035,1.8391666666666666,0.5621780560166562,6,-0.21614285714285714,0
7,2.9400000000000004,1.4700000000000002,0.49497474683058335,2,-0.6999999999999997,2
8,7.824999999999999,2.608333333333333,0.6978956464496205,3,0.4674999999999999,6
9,5.0600000000000005,1.6866666666666668,0.7462796616104,3,0.7199999999999998,4
10,5.57,1.114,0.8425734389357404,5,0.0009999999999999953,3
11,14.495,2.415833333333333,1.511768555919413,6,-0.621,0
12,6.859999999999999,2.2866666666666666,1.1510574848083537,3,-0.7899999999999997,1
13,2.52,1.26,0.8768124086713189,2,1.2399999999999995,19
14,7.455,1.491,1.4286724607130916,5,0.13950000000000007,0
15,10.08,2.016,1.1378400590592688,5,0.01599999999999998,1
16,7.525,1.88125,0.9629328031245655,4,0.14850000000000008,4
17,15.46,2.5766666666666667,1.2639409268896495,6,-0.02971428571428571,1
18,7.220000000000001,1.8050000000000002,0.636945837571767,4,-0.374,6
19,8.7,2.9,0.9184770002564028,3,0.7799999999999997,12
20,11.4,2.85,0.9041386324378947,4,-0.2920000000000001,5
21,10.54,2.1079999999999997,1.034949274119268,5,0.1840000000000001,0
22,10.95,2.19,1.3007305639524276,5,0.21,9
23,6.33,1.5825,0.472043430205315,4,-0.2490000000000001,0
24,2.6,2.6,0.0,1,0.0,4
25,4.94,1.6466666666666667,0.77880249956798,3,0.13000000000000014,5
26,3.5,1.1666666666666667,0.4100406483915142,3,0.19999999999999982,2
27,6.86,1.715,1.4258915339767844,4,-0.4300000000000001,1
28,5.09,2.545,0.6010407640085655,2,0.8499999999999999,0
29,7.3100000000000005,1.2183333333333335,0.40231413928255955,6,-0.07685714285714286,4
30,9.47,1.5783333333333334,1.0938814682892597,6,0.054000000000000006,2
31,10.95,2.19,0.4124318125460256,5,0.07200000000000004,3
32,5.6,1.8666666666666665,1.2663859338026988,3,1.2599999999999998,7
33,10.620000000000001,2.6550000000000002,1.4312116079275863,4,-0.6540000000000001,3
34,2.96,2.96,0.0,1,0.0,0
35,1.48,1.48,0.0,1,0.0,9
37,8.24,1.6480000000000001,0.7292256166646919,5,0.21400000000000005,5
38,18.97,2.37125,1.729611331236835,8,0.3577380952380952,2
39,4.16,1.3866666666666667,0.7100234737903623,3,0.19999999999999998,4
40,1.14,1.14,0.0,1,0.0,16
41,8.05,1.61,0.5762811813689563,5,0.09600000000000007,4
42,4.890000000000001,1.6300000000000001,1.080555412739208,3,-1.0799999999999996,11
43,9.05,2.2625,0.5416871790987857,4,0.3690000000000002,1
44,9.790000000000001,1.9580000000000002,1.1910373629739748,5,-0.21500000000000008,0
45,2.22,2.22,0.0,1,0.0,0
46,11.93,1.7042857142857142,1.2357164877492077,7,-0.1271428571428571,3
47,7.1,1.775,1.3955524593030053,4,0.7980000000000002,10
48,11.0,2.75,1.2876334882255895,4,0.05200000000000004,8
49,5.41,1.3525,0.9960045180620416,4,-0.23700000000000007,2
50,7.0,2.3333333333333335,1.5627326493464366,3,0.9999999999999997,0
